,Hardness,Al,Co,Cr,Cu,Fe,Ni
20,503,0.182,0.182,0.182,0,0.182,0.273
21,510,0.167,0.167,0.167,0,0.333,0.167
22,172,0,0.167,0.333,0.167,0.167,0.167
23,603,0.315,0.137,0.137,0.137,0.137,0.137
24,158,0,0.225,0.1,0.225,0.225,0.225
25,110,0.059,0.235,0.235,0,0.235,0.235
26,584,0.222,0.222,0,0.111,0.222,0.222
27,366,0.182,0.273,0,0.182,0.182,0.182
28,735,0.375,0.125,0.125,0.125,0.125,0.125
29,512,0.333333333,0.166666667,0.166666667,0,0.166666667,0.166666667
30,162,0.038,0,0.192,0.192,0.192,0.385
31,150,0,0.1,0.225,0.225,0.225,0.225
32,183,0,0.25,0.25,0.25,0,0.25
33,476,0.245283019,0.188679245,0.188679245,0.188679245,0.188679245,0
34,536,0.2,0.2,0,0.2,0.2,0.2
35,532,0.167,0.333,0.167,0,0.167,0.167
36,537,0.167,0.167,0.167,0.083,0.25,0.167
37,539,0.225,0.1,0.225,0,0.225,0.225
38,382,0.167,0.208,0.208,0,0.208,0.208
39,418,0.182,0.182,0.182,0.182,0.091,0.182
