,Hardness,Al,Co,Cr,Cu,Fe,Ni
136,654,0.28,0.08,0.25,0.08,0.19,0.12
137,127,0.091,0.227,0.227,0,0.227,0.227
138,207,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0
139,459,0.13,0,0.28,0.22,0.06,0.31
140,546,0.231,0,0.154,0.154,0.154,0.308
141,558,0.265,0.147,0.147,0.147,0.147,0.147
142,593,0.333,0,0.133,0.133,0.133,0.267
143,125,0,0.2,0.2,0,0.2,0.4
144,695,0.2,0.267,0.267,0,0.267,0
145,473,0.182,0.091,0.182,0.182,0.182,0.182
146,278,0.107,0,0.179,0.179,0.179,0.357
147,155,0,0.2,0.2,0.2,0.2,0.2
148,161,0,0.213,0.15,0.213,0.213,0.213
149,495,0.11,0,0.29,0.29,0.05,0.26
150,430,0.25,0.25,0,0,0.25,0.25
151,573,0.273,0,0.182,0.182,0.182,0.182
152,587,0.225,0.225,0.225,0,0.1,0.225
153,544,0.265,0,0.147,0.147,0.147,0.294
154,146,0,0.05,0.238,0.238,0.238,0.238
155,476,0.225,0.225,0.1,0,0.225,0.225
156,185,0.057,0.189,0.189,0.189,0.189,0.189
157,225,0.125,0.125,0.125,0,0.125,0.5
158,407,0.2,0.2,0.2,0.2,0.2,0
159,154,0,0.25,0,0.25,0.25,0.25
160,158,0,0.15,0.213,0.213,0.213,0.213
161,335,0.167,0.167,0.167,0,0.167,0.333
162,170,0,0.283,0.283,0,0.283,0.15
163,665,0.238,0.238,0.238,0,0.05,0.238
164,558,0.213,0.213,0.213,0,0.15,0.213
165,655,0.15,0.283,0.283,0,0.283,0
166,238,0.091,0,0.182,0.182,0.182,0.364
167,339,0.153,0,0.169,0.169,0.169,0.339
168,567,0.286,0,0.143,0.143,0.143,0.286
169,586,0.2,0.2,0.2,0.1,0.1,0.2
170,607,0.154,0.154,0.308,0.077,0.154,0.154
171,551,0.2,0.1,0.2,0.1,0.2,0.2
172,651,0.333,0,0.167,0.167,0.167,0.167
173,280,0.08,0.17,0.17,0.08,0.17,0.33
174,720,0.429,0.143,0.143,0.071,0.071,0.143
175,699,0.34,0.17,0.34,0,0.05,0.1
176,728,0.47,0.14,0.15,0.05,0.13,0.06
177,604,0.38,0.11,0.06,0.09,0.31,0.05
178,790,0.36,0.1,0.31,0.06,0.09,0.08
179,806,0.43,0.17,0.15,0,0.14,0.11
180,811,0.47,0.12,0.12,0.05,0.13,0.11
181,855,0.43,0.19,0.19,0,0.11,0.08
182,802,0.39,0.1,0.31,0.05,0.08,0.07
183,799,0.47,0.13,0.13,0.05,0.12,0.1
184,857,0.43,0.2,0.22,0,0.08,0.07
185,855,0.47,0.14,0.19,0.05,0.1,0.05
186,816,0.43,0.2,0.19,0,0.09,0.09
187,811,0.46,0.14,0.23,0.05,0.07,0.05
188,790,0.44,0.14,0.22,0.05,0.09,0.06
189,855,0.43,0.19,0.24,0,0.08,0.06
190,856,0.43,0.18,0.24,0,0.1,0.05
191,859,0.47,0.14,0.2,0.05,0.09,0.05
192,875,0.43,0.24,0.22,0,0.05,0.06
193,868,0.43,0.24,0.23,0,0.05,0.05
194,843,0.47,0.12,0.2,0.05,0.11,0.05
195,794,0.43,0.15,0.17,0.05,0.14,0.06
196,783,0.42,0.1,0.3,0.05,0.07,0.06
197,797,0.47,0.11,0.22,0.05,0.1,0.05
198,805,0.47,0.13,0.2,0.05,0.1,0.05
199,699,0.29,0.22,0.34,0,0.05,0.1
200,749,0.47,0.07,0.16,0.09,0.16,0.05
201,828,0.43,0.14,0.21,0.05,0.12,0.05
202,849,0.47,0.18,0.15,0.05,0.1,0.05
203,883,0.47,0.2,0.18,0.05,0.05,0.05
204,864,0.43,0.18,0.2,0,0.12,0.07
205,841,0.47,0.17,0.16,0.05,0.1,0.05
206,882,0.43,0.22,0.22,0,0.08,0.05
