,Hardness,Al,Co,Cr,Cu,Fe,Ni,
131,517,0.272727273,0.181818182,0.181818182,0,0.181818182,0.181818182,0.416701609
49,207,0.091,0.182,0.182,0.182,0.182,0.182,0.959540182
235,476,0.245,0.189,0.189,0.189,0.189,0,0.725322995
89,712,0.25,0.25,0.25,0,0,0.25,0.898754944
232,180,0.07,0.233,0.233,0.233,0.233,0,0.094298136
236,510,0.273,0.182,0.182,0.182,0.182,0,0.870856424
132,521,0.194,0,0.161,0.161,0.161,0.323,0.590693253
237,557,0.31,0.172,0.172,0.172,0.172,0,0.204563765
182,802,0.39,0.1,0.31,0.05,0.08,0.07,0.536019041
261,375,0.167,0.167,0.167,0.333,0.167,0.167,0.705413685
169,586,0.2,0.2,0.2,0.1,0.1,0.2,0.519305593
138,207,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0,0.100490319
82,380,0.2,0.267,0,0,0.267,0.267,0.381846075
78,118,0.024,0.244,0.244,0,0.244,0.244,0.247219741
217,581.7,0.333,0.167,0.167,0,0.167,0.167,0.431551153
239,603,0.365,0.159,0.159,0.159,0.159,0,0.394304257
77,295,0.154,0.308,0.154,0.077,0.154,0.154,0.749256304
255,312.54,0.135,0.192,0.192,0.096,0.192,0.192,0.859918606
258,403.25,0.152,0.19,0.19,0.086,0.19,0.19,0.457181002
264,124,0,0.2,0.2,0,0.4,0.2,0.103177799
233,207,0.111,0.222,0.222,0.222,0.222,0,0.440639193
69,510,0.231,0.154,0.154,0.154,0.154,0.154,0.768447949
40,576,0.286,0.143,0.143,0.143,0.143,0.143,0.823615009
17,482,0.31,0.172,0.172,0,0.172,0.172,0.062689853
79,209,0.111111111,0.222222222,0.222222222,0,0.222222222,0.222222222,0.156668128
44,175,0,0.333,0.167,0.167,0.167,0.167,0.955461365
80,483,0.12,0,0.31,0.2,0.05,0.32,0.500796766
73,367,0.182,0.182,0.091,0.182,0.182,0.182,0.648600699
129,304,0.063,0,0.313,0,0.469,0.156,0.219029603
74,487,0.238,0.19,0.19,0,0.19,0.19,0.989840177
36,537,0.167,0.167,0.167,0.083,0.25,0.167,0.779402395
90,382,0.111,0,0.222,0.222,0.222,0.222,0.979126097
26,584,0.222,0.222,0,0.111,0.222,0.222,0.731125553
252,340,0.206,0.159,0.159,0,0.159,0.317,0.445101158
178,790,0.36,0.1,0.31,0.06,0.09,0.08,0.377564566
135,271,0.166666667,0.208333333,0.208333333,0.208333333,0.208333333,0,0.440684676
224,863,0.43,0.23,0.21,0,0.08,0.05,0.25100376
174,720,0.429,0.143,0.143,0.071,0.071,0.143,0.920884811
30,162,0.038,0,0.192,0.192,0.192,0.385,0.939918702
32,183,0,0.25,0.25,0.25,0,0.25,0.337827157
27,366,0.182,0.273,0,0.182,0.182,0.182,0.378600941
37,539,0.225,0.1,0.225,0,0.225,0.225,0.76866934
179,806,0.43,0.17,0.15,0,0.14,0.11,0.643940735
127,205,0.143,0.286,0,0,0.286,0.286,0.368850817
20,503,0.182,0.182,0.182,0,0.182,0.273,0.181475358
