,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni,result_0
59,59,451.0,0.167,0.25,0.167,0.083,0.167,0.167,4.822835671
60,60,475.0,0.05,0.317,0.317,0.0,0.317,0.0,4.822835671
61,61,370.0,0.185,0.0,0.185,0.185,0.185,0.259,4.822835671
62,62,702.0,0.462,0.154,0.077,0.077,0.154,0.077,4.822835671
63,63,168.0,0.053,0.211,0.211,0.0,0.263,0.263,4.822835671
64,64,166.0,0.143,0.429,0.0,0.143,0.143,0.143,4.822835671
65,65,459.0,0.13,0.0,0.28,0.22,0.06,0.31,4.822835671
66,66,546.0,0.231,0.0,0.154,0.154,0.154,0.308,4.822835671
67,67,558.0,0.265,0.147,0.147,0.147,0.147,0.147,4.822835671
68,68,593.0,0.333,0.0,0.133,0.133,0.133,0.267,4.822835671
69,69,125.0,0.0,0.2,0.2,0.0,0.2,0.4,4.822835671
70,70,695.0,0.2,0.267,0.267,0.0,0.267,0.0,4.822835671
71,71,473.0,0.182,0.091,0.182,0.182,0.182,0.182,4.822835671
72,72,278.0,0.107,0.0,0.179,0.179,0.179,0.357,4.822835671
73,73,155.0,0.0,0.2,0.2,0.2,0.2,0.2,4.822835671
74,74,161.0,0.0,0.213,0.15,0.213,0.213,0.213,4.822835671
75,75,495.0,0.11,0.0,0.29,0.29,0.05,0.26,4.822835671
76,76,430.0,0.25,0.25,0.0,0.0,0.25,0.25,4.822835671
77,77,573.0,0.273,0.0,0.182,0.182,0.182,0.182,4.822835671
78,78,587.0,0.225,0.225,0.225,0.0,0.1,0.225,4.822835671
79,79,544.0,0.265,0.0,0.147,0.147,0.147,0.294,4.822835671
80,80,146.0,0.0,0.05,0.238,0.238,0.238,0.238,4.822835671
81,81,476.0,0.225,0.225,0.1,0.0,0.225,0.225,4.822835671
82,82,185.0,0.057,0.189,0.189,0.189,0.189,0.189,4.822835671
83,83,225.0,0.125,0.125,0.125,0.0,0.125,0.5,4.822835671
84,84,407.0,0.2,0.2,0.2,0.2,0.2,0.0,4.822835671
85,85,154.0,0.0,0.25,0.0,0.25,0.25,0.25,4.822835671
86,86,158.0,0.0,0.15,0.213,0.213,0.213,0.213,4.822835671
87,87,335.0,0.167,0.167,0.167,0.0,0.167,0.333,4.822835671
88,88,170.0,0.0,0.283,0.283,0.0,0.283,0.15,4.822835671
89,89,665.0,0.238,0.238,0.238,0.0,0.05,0.238,4.822835671
90,90,558.0,0.213,0.213,0.213,0.0,0.15,0.213,4.822835671
91,91,655.0,0.15,0.283,0.283,0.0,0.283,0.0,4.822835671
92,92,238.0,0.091,0.0,0.182,0.182,0.182,0.364,4.822835671
93,93,339.0,0.153,0.0,0.169,0.169,0.169,0.339,4.822835671
94,94,567.0,0.286,0.0,0.143,0.143,0.143,0.286,4.822835671
95,95,811.0,0.46,0.14,0.23,0.05,0.07,0.05,4.822835671
96,96,790.0,0.44,0.14,0.22,0.05,0.09,0.06,4.822835671
97,97,855.0,0.43,0.19,0.24,0.0,0.08,0.06,4.822835671
98,98,856.0,0.43,0.18,0.24,0.0,0.1,0.05,4.822835671
99,99,859.0,0.47,0.14,0.2,0.05,0.09,0.05,4.822835671
100,100,875.0,0.43,0.24,0.22,0.0,0.05,0.06,4.822835671
101,101,868.0,0.43,0.24,0.23,0.0,0.05,0.05,4.822835671
102,102,843.0,0.47,0.12,0.2,0.05,0.11,0.05,4.822835671
103,103,794.0,0.43,0.15,0.17,0.05,0.14,0.06,4.822835671
104,104,783.0,0.42,0.1,0.3,0.05,0.07,0.06,4.822835671
105,105,797.0,0.47,0.11,0.22,0.05,0.1,0.05,4.822835671
106,106,805.0,0.47,0.13,0.2,0.05,0.1,0.05,4.822835671
107,107,699.0,0.29,0.22,0.34,0.0,0.05,0.1,4.822835671
108,108,749.0,0.47,0.07,0.16,0.09,0.16,0.05,4.822835671
109,109,828.0,0.43,0.14,0.21,0.05,0.12,0.05,4.822835671
110,110,849.0,0.47,0.18,0.15,0.05,0.1,0.05,4.822835671
111,111,883.0,0.47,0.2,0.18,0.05,0.05,0.05,4.822835671
112,112,864.0,0.43,0.18,0.2,0.0,0.12,0.07,4.822835671
113,113,841.0,0.47,0.17,0.16,0.05,0.1,0.05,4.822835671
114,114,882.0,0.43,0.22,0.22,0.0,0.08,0.05,4.822835671
115,115,883.0,0.43,0.22,0.23,0.0,0.07,0.05,4.822835671
116,116,828.0,0.43,0.2,0.21,0.0,0.09,0.07,4.822835671
117,117,848.0,0.43,0.22,0.25,0.0,0.05,0.05,4.822835671
118,118,878.0,0.47,0.19,0.19,0.05,0.05,0.05,4.822835671
119,119,782.0,0.43,0.29,0.18,0.0,0.05,0.05,4.822835671
120,120,865.0,0.43,0.25,0.22,0.0,0.05,0.05,4.822835671
121,121,851.5,0.445,0.22,0.195,0.025,0.065,0.05,4.822835671
122,122,117.0,0.07,0.233,0.233,0.0,0.233,0.233,4.822835671
123,123,228.0,0.13,0.217,0.217,0.0,0.217,0.217,4.822835671
124,124,135.3,0.025,0.25,0.225,0.0,0.25,0.25,4.822835671
125,125,147.2,0.05,0.25,0.2,0.0,0.25,0.25,4.822835671
126,126,175.3,0.075,0.25,0.175,0.0,0.25,0.25,4.822835671
127,127,190.4,0.1,0.25,0.15,0.0,0.25,0.25,4.822835671
128,128,210.6,0.125,0.25,0.125,0.0,0.25,0.25,4.822835671
129,129,250.3,0.15,0.25,0.1,0.0,0.25,0.25,4.822835671
130,130,314.1,0.175,0.25,0.075,0.0,0.25,0.25,4.822835671
131,131,386.5,0.2,0.25,0.05,0.0,0.25,0.25,4.822835671
132,132,486.3,0.225,0.25,0.025,0.0,0.25,0.25,4.822835671
133,133,418.0,0.182,0.182,0.182,0.182,0.091,0.182,4.822835671
134,134,245.8,0.13,0.217,0.217,0.217,0.217,0.217,4.822835671
135,135,694.0,0.429,0.071,0.143,0.071,0.143,0.143,4.822835671
