,Hardness,Al,Co,Cr,Cu,Fe,Ni,
264,124,0,0.2,0.2,0,0.4,0.2,0.887050442
236,510,0.273,0.182,0.182,0.182,0.182,0,0.16876959
125,172,0,0.225,0.225,0.225,0.1,0.225,0.004043015
80,483,0.12,0,0.31,0.2,0.05,0.32,0.359139747
33,476,0.245283019,0.188679245,0.188679245,0.188679245,0.188679245,0,0.146339443
128,701,0.429,0.214,0.071,0.071,0.071,0.143,0.236574041
70,249,0.167,0.333,0,0.167,0.167,0.167,0.909190077
136,654,0.28,0.08,0.25,0.08,0.19,0.12,0.718774268
216,458,0.167,0.167,0.167,0.167,0.167,0.167,0.556271924
241,657,0.412,0.147,0.147,0.147,0.147,0,0.675874347
69,510,0.231,0.154,0.154,0.154,0.154,0.154,0.259457038
218,430.9,0.222,0.222,0,0.222,0.222,0.111,0.560203504
77,295,0.154,0.308,0.154,0.077,0.154,0.154,0.699397528
221,299.2,0.167,0.167,0,0.167,0.167,0.333,0.598028324
132,521,0.194,0,0.161,0.161,0.161,0.323,0.123311956
24,158,0,0.225,0.1,0.225,0.225,0.225,0.250700714
74,487,0.238,0.19,0.19,0,0.19,0.19,0.091736943
255,312.54,0.135,0.192,0.192,0.096,0.192,0.192,0.764987435
91,695,0.385,0.154,0.154,0,0.154,0.154,0.238397045
78,118,0.024,0.244,0.244,0,0.244,0.244,0.12132305
82,380,0.2,0.267,0,0,0.267,0.267,0.024364354
169,586,0.2,0.2,0.2,0.1,0.1,0.2,0.698443767
137,127,0.091,0.227,0.227,0,0.227,0.227,0.478823028
258,403.25,0.152,0.19,0.19,0.086,0.19,0.19,0.777019138
