,Hardness,Al,Co,Cr,Cu,Fe,Ni,result_39
48,153,0,0.238,0.05,0.238,0.238,0.238,0.98395319
49,338,0.149,0.213,0.213,0,0.213,0.213,3.635878002
50,131,0.086,0.229,0.229,0,0.229,0.229,2.268812893
51,740,0.429,0.143,0.143,0,0.143,0.143,8.171256298
52,472,0.1,0,0.35,0.25,0.05,0.25,3.909722732
53,172,0,0.222222222,0.222222222,0.111111111,0.222222222,0.222222222,1.347815834
54,170,0.057,0,0.189,0.189,0.189,0.377,1.633775668
55,545,0.222,0.111,0,0.222,0.222,0.222,4.170217144
56,415,0.2,0.2,0.2,0.2,0,0.2,4.869374295
57,475,0.206,0.159,0.159,0.159,0.159,0.159,4.87504682
58,242,0.143,0.143,0.143,0,0.143,0.429,2.214257276
59,451,0.167,0.25,0.167,0.083,0.167,0.167,4.132814839
60,475,0.05,0.317,0.317,0,0.317,0,5.174845313
61,370,0.185,0,0.185,0.185,0.185,0.259,4.647125789
62,702,0.462,0.154,0.077,0.077,0.154,0.077,7.504208081
63,168,0.053,0.211,0.211,0,0.263,0.263,1.738023476
64,166,0.143,0.429,0,0.143,0.143,0.143,2.996431103
65,459,0.13,0,0.28,0.22,0.06,0.31,4.197671862
66,546,0.231,0,0.154,0.154,0.154,0.308,5.044974357
67,558,0.265,0.147,0.147,0.147,0.147,0.147,5.390498841
68,593,0.333,0,0.133,0.133,0.133,0.267,6.200866148
69,125,0,0.2,0.2,0,0.2,0.4,1.550692721
70,695,0.2,0.267,0.267,0,0.267,0,6.256145279
71,473,0.182,0.091,0.182,0.182,0.182,0.182,4.655483906
72,278,0.107,0,0.179,0.179,0.179,0.357,2.337095647
73,155,0,0.2,0.2,0.2,0.2,0.2,1.11719656
74,161,0,0.213,0.15,0.213,0.213,0.213,0.995830069
75,495,0.11,0,0.29,0.29,0.05,0.26,4.080818623
76,430,0.25,0.25,0,0,0.25,0.25,4.507164521
77,573,0.273,0,0.182,0.182,0.182,0.182,5.363039585
78,587,0.225,0.225,0.225,0,0.1,0.225,5.575290184
79,544,0.265,0,0.147,0.147,0.147,0.294,5.525913291
80,146,0,0.05,0.238,0.238,0.238,0.238,1.365853704
81,476,0.225,0.225,0.1,0,0.225,0.225,4.680805907
82,185,0.057,0.189,0.189,0.189,0.189,0.189,1.6156292
83,225,0.125,0.125,0.125,0,0.125,0.5,1.961135394
84,407,0.2,0.2,0.2,0.2,0.2,0,3.985769604
85,154,0,0.25,0,0.25,0.25,0.25,0.988718417
86,158,0,0.15,0.213,0.213,0.213,0.213,1.186517358
87,335,0.167,0.167,0.167,0,0.167,0.333,3.005417471
88,170,0,0.283,0.283,0,0.283,0.15,1.920588867
89,665,0.238,0.238,0.238,0,0.05,0.238,5.873714475
90,558,0.213,0.213,0.213,0,0.15,0.213,5.285617516
91,655,0.15,0.283,0.283,0,0.283,0,5.868991073
92,238,0.091,0,0.182,0.182,0.182,0.364,2.053760979
93,339,0.153,0,0.169,0.169,0.169,0.339,3.365772516
94,567,0.286,0,0.143,0.143,0.143,0.286,5.762053697
95,811,0.46,0.14,0.23,0.05,0.07,0.05,8.680578698
96,790,0.44,0.14,0.22,0.05,0.09,0.06,8.413009232
97,855,0.43,0.19,0.24,0,0.08,0.06,8.749397639
98,856,0.43,0.18,0.24,0,0.1,0.05,8.739430052
99,859,0.47,0.14,0.2,0.05,0.09,0.05,8.695957928
100,875,0.43,0.24,0.22,0,0.05,0.06,8.698433833
101,868,0.43,0.24,0.23,0,0.05,0.05,8.723343717
102,843,0.47,0.12,0.2,0.05,0.11,0.05,8.695794873
103,794,0.43,0.15,0.17,0.05,0.14,0.06,7.922353291
104,783,0.42,0.1,0.3,0.05,0.07,0.06,7.962917964
105,797,0.47,0.11,0.22,0.05,0.1,0.05,8.787124511
106,805,0.47,0.13,0.2,0.05,0.1,0.05,8.695875213
