,Hardness,Al,Co,Cr,Cu,Fe,Ni,result_0
116,828,0.43,0.2,0.21,0,0.09,0.07,4.822835671
117,848,0.43,0.22,0.25,0,0.05,0.05,4.822835671
118,878,0.47,0.19,0.19,0.05,0.05,0.05,4.822835671
119,782,0.43,0.29,0.18,0,0.05,0.05,4.822835671
120,865,0.43,0.25,0.22,0,0.05,0.05,4.822835671
121,851.5,0.445,0.22,0.195,0.025,0.065,0.05,4.822835671
122,117,0.07,0.233,0.233,0,0.233,0.233,4.822835671
123,228,0.13,0.217,0.217,0,0.217,0.217,4.822835671
124,135.3,0.025,0.25,0.225,0,0.25,0.25,4.822835671
125,147.2,0.05,0.25,0.2,0,0.25,0.25,4.822835671
126,175.3,0.075,0.25,0.175,0,0.25,0.25,4.822835671
127,190.4,0.1,0.25,0.15,0,0.25,0.25,4.822835671
128,210.6,0.125,0.25,0.125,0,0.25,0.25,4.822835671
129,250.3,0.15,0.25,0.1,0,0.25,0.25,4.822835671
130,314.1,0.175,0.25,0.075,0,0.25,0.25,4.822835671
131,386.5,0.2,0.25,0.05,0,0.25,0.25,4.822835671
132,486.3,0.225,0.25,0.025,0,0.25,0.25,4.822835671
133,418,0.182,0.182,0.182,0.182,0.091,0.182,4.822835671
134,245.8,0.13,0.217,0.217,0.217,0.217,0.217,4.822835671
135,694,0.429,0.071,0.143,0.071,0.143,0.143,4.822835671
136,110,0.059,0.235,0.235,0,0.235,0.235,4.822835671
137,169,0.048,0.238,0.238,0.238,0.238,0.238,4.822835671
138,768,0.4,0.133,0.067,0.133,0.2,0.067,4.822835671
139,639,0.222,0.222,0.222,0.111,0.222,0,4.822835671
140,644,0.428571429,0.142857143,0.142857143,0.142857143,0.142857143,0,4.822835671
141,617,0.167,0.167,0.333,0,0.167,0.167,4.822835671
142,644,0.429,0.143,0.143,0.143,0.143,0,4.822835671
143,150,0,0.1,0.225,0.225,0.225,0.225,4.822835671
144,109,0,0.143,0.143,0,0.571,0.143,4.822835671
145,799,0.47,0.13,0.13,0.05,0.12,0.1,4.822835671
146,699,0.34,0.17,0.34,0,0.05,0.1,4.822835671
147,604,0.38,0.11,0.06,0.09,0.31,0.05,4.822835671
148,537,0.167,0.167,0.167,0.083,0.25,0.167,4.822835671
149,341.09,0.143,0.19,0.19,0.095,0.19,0.19,4.822835671
150,637.2,0.238,0.238,0.238,0,0.048,0.238,4.822835671
151,603,0.365,0.159,0.159,0.159,0.159,0,4.822835671
152,207,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0,4.822835671
