,Hardness,Al,Co,Cr,Cu,Fe,Ni,result_9
0,486,0.208,0,0.208,0.208,0.208,0.167,4.786321191
1,469,0.11,0,0.28,0.27,0.06,0.28,4.088154928
2,358,0.167,0.167,0.167,0.083,0.167,0.25,3.849644152
3,477,0.11,0,0.28,0.29,0.07,0.25,4.088154928
4,140,0,0.267,0.267,0,0.267,0.2,2.378217005
5,567,0.333333333,0.166666667,0.166666667,0.166666667,0.166666667,0,6.188453576
6,167,0,0.213,0.213,0.213,0.213,0.15,1.831983489
7,494,0.217,0,0.217,0.217,0.217,0.13,5.003422205
8,550,0.238,0.05,0.238,0,0.238,0.238,5.517219039
9,273,0.138,0.172,0.172,0.172,0.172,0.172,3.46976862
10,538,0.179,0.205,0.205,0,0.205,0.205,4.343464552
11,182,0,0.238,0.238,0.238,0.05,0.238,2.088232157
12,265,0.154,0.154,0.154,0,0.154,0.385,3.574955281
13,423,0.182,0.182,0.182,0.182,0.182,0.091,4.180622723
14,557,0.310344828,0.172413793,0.172413793,0.172413793,0.172413793,0,5.913821279
15,580,0.23,0.15,0.23,0.08,0.15,0.16,5.320934883
16,135,0.077,0.308,0,0,0.308,0.308,2.118814665
17,624,0.384615385,0.153846154,0.153846154,0.153846154,0.153846154,0,6.80009323
18,441,0.1,0,0.35,0.24,0.05,0.26,4.140355774
19,139,0,0.25,0.25,0,0.25,0.25,2.211929488
20,408,0.192,0,0.192,0.192,0.192,0.231,4.40917805
21,629,0.28,0.1,0.27,0.1,0.05,0.2,6.425115785
22,290,0.123,0,0.175,0.175,0.175,0.351,3.276487526
23,657,0.411764706,0.147058824,0.147058824,0.147058824,0.147058824,0,7.122862665
24,601,0.167,0.167,0.25,0.083,0.167,0.167,4.629574782
25,392,0.167,0,0.167,0.167,0.167,0.333,3.849644152
26,315,0.138,0,0.172,0.172,0.172,0.345,3.46976862
27,371,0.167,0,0.556,0,0,0.278,3.540644763
28,604,0.2,0.2,0.2,0.1,0.2,0.1,4.596144111
29,454,0.1,0,0.35,0.26,0.05,0.24,4.140355774
30,550,0.242,0,0.152,0.152,0.152,0.303,4.816958653
31,171,0,0.213,0.213,0.213,0.15,0.213,1.831983489
32,720,0.25,0.25,0.25,0,0.25,0,5.810278721
33,479,0.2,0,0.2,0.2,0.2,0.2,4.596144111
34,620,0.1,0.3,0.3,0,0.3,0,4.080578071
35,125,0,0.333333,0,0,0.333333333,0.333333333,1
36,548,0.225,0.225,0.225,0,0.225,0.1,5.198444918
37,655,0.359,0.128,0.128,0.128,0.128,0.128,6.31293686
38,157,0,0.167,0.167,0.167,0.333,0.167,1.431998858
39,450,0.118,0,0.294,0,0.441,0.147,4.30531727
40,200,0.074,0,0.185,0.185,0.185,0.37,2.648462257
41,310,0.154,0.154,0.154,0.077,0.154,0.308,3.574955281
42,625,0.333,0.133,0.133,0.133,0.133,0.133,5.98079158
43,555,0.213,0.213,0.213,0,0.213,0.15,4.906574623
44,546,0.2,0.2,0.1,0.1,0.2,0.2,3.988936583
45,170,0,0.225,0.225,0.225,0.225,0.1,1.953490354
46,516,0.2,0.2,0.2,0,0.2,0.2,4.596144111
47,764,0.43,0.06,0.33,0.06,0.06,0.06,8.78113085
48,153,0,0.238,0.05,0.238,0.238,0.238,1.012978478
49,338,0.149,0.213,0.213,0,0.213,0.213,3.991093549
