,Hardness,Al,Co,Cr,Cu,Fe,Ni,result_29
124,135.3,0.025,0.25,0.225,0,0.25,0.25,1.733960462
125,147.2,0.05,0.25,0.2,0,0.25,0.25,1.713726756
126,175.3,0.075,0.25,0.175,0,0.25,0.25,1.76421448
127,190.4,0.1,0.25,0.15,0,0.25,0.25,1.913500635
128,210.6,0.125,0.25,0.125,0,0.25,0.25,2.17639981
129,250.3,0.15,0.25,0.1,0,0.25,0.25,2.549721631
130,314.1,0.175,0.25,0.075,0,0.25,0.25,3.012460268
131,386.5,0.2,0.25,0.05,0,0.25,0.25,3.532344539
132,486.3,0.225,0.25,0.025,0,0.25,0.25,4.075170237
133,418,0.182,0.182,0.182,0.182,0.091,0.182,4.7379328
134,245.8,0.13,0.217,0.217,0.217,0.217,0.217,3.659628558
135,694,0.429,0.071,0.143,0.071,0.143,0.143,7.308456234
136,110,0.059,0.235,0.235,0,0.235,0.235,1.974878542
137,169,0.048,0.238,0.238,0.238,0.238,0.238,1.881235329
138,768,0.4,0.133,0.067,0.133,0.2,0.067,6.092818824
139,639,0.222,0.222,0.222,0.111,0.222,0,5.52009396
140,644,0.428571429,0.142857143,0.142857143,0.142857143,0.142857143,0,6.375045004
141,617,0.167,0.167,0.333,0,0.167,0.167,4.865016805
142,644,0.429,0.143,0.143,0.143,0.143,0,6.377505314
143,150,0,0.1,0.225,0.225,0.225,0.225,1.410682169
144,109,0,0.143,0.143,0,0.571,0.143,1.246650778
145,799,0.47,0.13,0.13,0.05,0.12,0.1,8.004786418
146,699,0.34,0.17,0.34,0,0.05,0.1,7.822571023
147,604,0.38,0.11,0.06,0.09,0.31,0.05,6.406901023
148,537,0.167,0.167,0.167,0.083,0.25,0.167,4.469312675
149,341.09,0.143,0.19,0.19,0.095,0.19,0.19,3.773061957
150,637.2,0.238,0.238,0.238,0,0.048,0.238,5.241735265
151,603,0.365,0.159,0.159,0.159,0.159,0,5.670297965
152,207,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0,3.594375537
