,Hardness,Al,Co,Cr,Cu,Fe,Ni,result_29
0,486,0.208,0,0.208,0.208,0.208,0.167,4.742102923
1,469,0.11,0,0.28,0.27,0.06,0.28,3.885512402
2,358,0.167,0.167,0.167,0.083,0.167,0.25,3.764613794
3,477,0.11,0,0.28,0.29,0.07,0.25,4.042690998
4,140,0,0.267,0.267,0,0.267,0.2,1.863304341
5,567,0.333333333,0.166666667,0.166666667,0.166666667,0.166666667,0,5.350735331
6,167,0,0.213,0.213,0.213,0.213,0.15,1.352502735
7,494,0.217,0,0.217,0.217,0.217,0.13,4.574839472
8,550,0.238,0.05,0.238,0,0.238,0.238,5.846451769
9,273,0.138,0.172,0.172,0.172,0.172,0.172,3.976080029
10,538,0.179,0.205,0.205,0,0.205,0.205,4.187057476
11,182,0,0.238,0.238,0.238,0.05,0.238,1.465132813
12,265,0.154,0.154,0.154,0,0.154,0.385,2.355169414
13,423,0.182,0.182,0.182,0.182,0.182,0.091,4.864895879
14,557,0.310344828,0.172413793,0.172413793,0.172413793,0.172413793,0,5.12878276
15,580,0.23,0.15,0.23,0.08,0.15,0.16,5.897676322
16,135,0.077,0.308,0,0,0.308,0.308,1.296755956
17,624,0.384615385,0.153846154,0.153846154,0.153846154,0.153846154,0,5.881301466
18,441,0.1,0,0.35,0.24,0.05,0.26,3.788919321
19,139,0,0.25,0.25,0,0.25,0.25,1.789863315
20,408,0.192,0,0.192,0.192,0.192,0.231,4.813329091
21,629,0.28,0.1,0.27,0.1,0.05,0.2,6.45723661
22,290,0.123,0,0.175,0.175,0.175,0.351,3.032049168
23,657,0.411764706,0.147058824,0.147058824,0.147058824,0.147058824,0,6.182035961
24,601,0.167,0.167,0.25,0.083,0.167,0.167,4.90120837
25,392,0.167,0,0.167,0.167,0.167,0.333,4.06200051
26,315,0.138,0,0.172,0.172,0.172,0.345,3.4003562
27,371,0.167,0,0.556,0,0,0.278,3.7548665
28,604,0.2,0.2,0.2,0.1,0.2,0.1,5.501469854
29,454,0.1,0,0.35,0.26,0.05,0.24,3.941683714
30,550,0.242,0,0.152,0.152,0.152,0.303,5.150465451
31,171,0,0.213,0.213,0.213,0.15,0.213,1.352502735
32,720,0.25,0.25,0.25,0,0.25,0,6.835451074
33,479,0.2,0,0.2,0.2,0.2,0.2,4.82464256
34,620,0.1,0.3,0.3,0,0.3,0,5.744982332
35,125,0,0.333333,0,0,0.333333333,0.333333333,1.006571763
36,548,0.225,0.225,0.225,0,0.225,0.1,6.097672806
37,655,0.359,0.128,0.128,0.128,0.128,0.128,6.091667921
38,157,0,0.167,0.167,0.167,0.333,0.167,1.148731607
39,450,0.118,0,0.294,0,0.441,0.147,4.428038133
40,200,0.074,0,0.185,0.185,0.185,0.37,1.958526828
41,310,0.154,0.154,0.154,0.077,0.154,0.308,2.980546767
42,625,0.333,0.133,0.133,0.133,0.133,0.133,5.892593966
43,555,0.213,0.213,0.213,0,0.213,0.15,5.475288847
44,546,0.2,0.2,0.1,0.1,0.2,0.2,4.562574032
45,170,0,0.225,0.225,0.225,0.225,0.1,1.407476596
46,516,0.2,0.2,0.2,0,0.2,0.2,4.71319705
47,764,0.43,0.06,0.33,0.06,0.06,0.06,8.131482306
48,153,0,0.238,0.05,0.238,0.238,0.238,0.752164268
49,338,0.149,0.213,0.213,0,0.213,0.213,3.417396278
50,131,0.086,0.229,0.229,0,0.229,0.229,2.225570791
51,740,0.429,0.143,0.143,0,0.143,0.143,8.016715447
52,472,0.1,0,0.35,0.25,0.05,0.25,3.868296928
53,172,0,0.222222222,0.222222222,0.111111111,0.222222222,0.222222222,1.49888887
54,170,0.057,0,0.189,0.189,0.189,0.377,1.704662822
55,545,0.222,0.111,0,0.222,0.222,0.222,4.469750546
56,415,0.2,0.2,0.2,0.2,0,0.2,4.953571336
57,475,0.206,0.159,0.159,0.159,0.159,0.159,5.026147345
58,242,0.143,0.143,0.143,0,0.143,0.429,2.037600273
59,451,0.167,0.25,0.167,0.083,0.167,0.167,4.214872377
60,475,0.05,0.317,0.317,0,0.317,0,5.405957542
61,370,0.185,0,0.185,0.185,0.185,0.259,4.715706262
62,702,0.462,0.154,0.077,0.077,0.154,0.077,7.502436858
63,168,0.053,0.211,0.211,0,0.263,0.263,1.793708522
64,166,0.143,0.429,0,0.143,0.143,0.143,3.179160628
65,459,0.13,0,0.28,0.22,0.06,0.31,4.080838219
66,546,0.231,0,0.154,0.154,0.154,0.308,5.036220249
67,558,0.265,0.147,0.147,0.147,0.147,0.147,5.452561161
68,593,0.333,0,0.133,0.133,0.133,0.267,5.854078726
69,125,0,0.2,0.2,0,0.2,0.4,1.531076684
70,695,0.2,0.267,0.267,0,0.267,0,6.45922691
71,473,0.182,0.091,0.182,0.182,0.182,0.182,4.787291857
72,278,0.107,0,0.179,0.179,0.179,0.357,2.651457474
73,155,0,0.2,0.2,0.2,0.2,0.2,1.292547724
74,161,0,0.213,0.15,0.213,0.213,0.213,1.028449186
75,495,0.11,0,0.29,0.29,0.05,0.26,4.030653098
76,430,0.25,0.25,0,0,0.25,0.25,4.611912966
77,573,0.273,0,0.182,0.182,0.182,0.182,5.081447508
78,587,0.225,0.225,0.225,0,0.1,0.225,5.067424748
79,544,0.265,0,0.147,0.147,0.147,0.294,5.355003351
80,146,0,0.05,0.238,0.238,0.238,0.238,1.470112154
81,476,0.225,0.225,0.1,0,0.225,0.225,4.500984888
82,185,0.057,0.189,0.189,0.189,0.189,0.189,1.878403371
83,225,0.125,0.125,0.125,0,0.125,0.5,1.677326844
84,407,0.2,0.2,0.2,0.2,0.2,0,4.196419466
85,154,0,0.25,0,0.25,0.25,0.25,0.731913549
86,158,0,0.15,0.213,0.213,0.213,0.213,1.354065173
87,335,0.167,0.167,0.167,0,0.167,0.333,2.854160817
88,170,0,0.283,0.283,0,0.283,0.15,1.920821843
89,665,0.238,0.238,0.238,0,0.05,0.238,5.241735265
90,558,0.213,0.213,0.213,0,0.15,0.213,4.900189127
91,655,0.15,0.283,0.283,0,0.283,0,6.093544239
92,238,0.091,0,0.182,0.182,0.182,0.364,2.286306538
93,339,0.153,0,0.169,0.169,0.169,0.339,3.752422606
94,567,0.286,0,0.143,0.143,0.143,0.286,5.51725664
95,811,0.46,0.14,0.23,0.05,0.07,0.05,8.393270096
96,790,0.44,0.14,0.22,0.05,0.09,0.06,8.122538236
97,855,0.43,0.19,0.24,0,0.08,0.06,8.62815116
98,856,0.43,0.18,0.24,0,0.1,0.05,8.60953613
99,859,0.47,0.14,0.2,0.05,0.09,0.05,8.345501113
100,875,0.43,0.24,0.22,0,0.05,0.06,8.620297456
101,868,0.43,0.24,0.23,0,0.05,0.05,8.673788147
102,843,0.47,0.12,0.2,0.05,0.11,0.05,8.306033254
103,794,0.43,0.15,0.17,0.05,0.14,0.06,7.766623138
104,783,0.42,0.1,0.3,0.05,0.07,0.06,8.161746854
105,797,0.47,0.11,0.22,0.05,0.1,0.05,8.394170264
106,805,0.47,0.13,0.2,0.05,0.1,0.05,8.325744513
107,699,0.29,0.22,0.34,0,0.05,0.1,7.296959356
108,749,0.47,0.07,0.16,0.09,0.16,0.05,7.522995354
109,828,0.43,0.14,0.21,0.05,0.12,0.05,7.956691236
110,849,0.47,0.18,0.15,0.05,0.1,0.05,8.171263426
111,883,0.47,0.2,0.18,0.05,0.05,0.05,8.358242698
112,864,0.43,0.18,0.2,0,0.12,0.07,8.39751887
113,841,0.47,0.17,0.16,0.05,0.1,0.05,8.19775374
114,882,0.43,0.22,0.22,0,0.08,0.05,8.583059007
115,883,0.43,0.22,0.23,0,0.07,0.05,8.63553903
116,828,0.43,0.2,0.21,0,0.09,0.07,8.489574749
117,848,0.43,0.22,0.25,0,0.05,0.05,8.734003578
118,878,0.47,0.19,0.19,0.05,0.05,0.05,8.391124495
119,782,0.43,0.29,0.18,0,0.05,0.05,8.502136855
120,865,0.43,0.25,0.22,0,0.05,0.05,8.640420239
121,851.5,0.445,0.22,0.195,0.025,0.065,0.05,8.432689668
122,117,0.07,0.233,0.233,0,0.233,0.233,2.061358615
123,228,0.13,0.217,0.217,0,0.217,0.217,2.977249045
