,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni
98,52,624.0,0.384615385,0.153846154,0.153846154,0.153846154,0.153846154,0.0
99,119,370.0,0.185,0.0,0.185,0.185,0.185,0.259
100,150,430.0,0.25,0.25,0.0,0.0,0.25,0.25
101,10,538.0,0.179,0.205,0.205,0.0,0.205,0.205
102,94,548.0,0.225,0.225,0.225,0.0,0.225,0.1
103,153,544.0,0.265,0.0,0.147,0.147,0.147,0.294
104,243,135.3,0.025,0.25,0.225,0.0,0.25,0.25
105,17,482.0,0.31,0.172,0.172,0.0,0.172,0.172
106,41,149.0,0.07,0.0,0.233,0.0,0.233,0.465
107,47,388.0,0.158,0.211,0.211,0.0,0.211,0.211
108,116,242.0,0.143,0.143,0.143,0.0,0.143,0.429
109,14,557.0,0.310344828,0.172413793,0.172413793,0.172413793,0.172413793,0.0
110,53,441.0,0.1,0.0,0.35,0.24,0.05,0.26
111,163,665.0,0.238,0.238,0.238,0.0,0.05,0.238
112,145,473.0,0.182,0.091,0.182,0.182,0.182,0.182
113,48,438.0,0.238,0.238,0.05,0.0,0.238,0.238
114,164,558.0,0.213,0.213,0.213,0.0,0.15,0.213
115,156,185.0,0.057,0.189,0.189,0.189,0.189,0.189
116,247,210.6,0.125,0.25,0.125,0.0,0.25,0.25
117,1,469.0,0.11,0.0,0.28,0.27,0.06,0.28
118,4,140.0,0.0,0.267,0.267,0.0,0.267,0.2
119,251,486.3,0.225,0.25,0.025,0.0,0.25,0.25
120,117,451.0,0.167,0.25,0.167,0.083,0.167,0.167
121,98,200.0,0.074,0.0,0.185,0.185,0.185,0.37
122,115,475.0,0.206,0.159,0.159,0.159,0.159,0.159
123,209,848.0,0.43,0.22,0.25,0.0,0.05,0.05
124,62,371.0,0.167,0.0,0.556,0.0,0.0,0.278
125,110,472.0,0.1,0.0,0.35,0.25,0.05,0.25
126,49,207.0,0.091,0.182,0.182,0.182,0.182,0.182
127,157,225.0,0.125,0.125,0.125,0.0,0.125,0.5
128,54,139.0,0.0,0.25,0.25,0.0,0.25,0.25
129,118,475.0,0.05,0.317,0.317,0.0,0.317,0.0
130,108,131.0,0.086,0.229,0.229,0.0,0.229,0.229
131,204,864.0,0.43,0.18,0.2,0.0,0.12,0.07
132,122,166.0,0.143,0.429,0.0,0.143,0.143,0.143
133,201,828.0,0.43,0.14,0.21,0.05,0.12,0.05
134,106,153.0,0.0,0.238,0.05,0.238,0.238,0.238
135,63,604.0,0.2,0.2,0.2,0.1,0.2,0.1
136,246,190.4,0.1,0.25,0.15,0.0,0.25,0.25
137,0,486.0,0.208,0.0,0.208,0.208,0.208,0.167
138,45,479.0,0.231,0.192,0.192,0.0,0.192,0.192
139,207,883.0,0.43,0.22,0.23,0.0,0.07,0.05
140,205,841.0,0.47,0.17,0.16,0.05,0.1,0.05
141,16,534.0,0.222,0.0,0.222,0.111,0.222,0.222
142,187,811.0,0.46,0.14,0.23,0.05,0.07,0.05
143,58,657.0,0.411764706,0.147058824,0.147058824,0.147058824,0.147058824,0.0
144,143,125.0,0.0,0.2,0.2,0.0,0.2,0.4
145,11,182.0,0.0,0.238,0.238,0.238,0.05,0.238
146,18,609.0,0.308,0.154,0.154,0.077,0.154,0.154
147,154,146.0,0.0,0.05,0.238,0.238,0.238,0.238
