,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni
98,119,370.0,0.185,0.0,0.185,0.185,0.185,0.259
99,249,314.1,0.175,0.25,0.075,0.0,0.25,0.25
100,44,175.0,0.0,0.333,0.167,0.167,0.167,0.167
101,52,624.0,0.384615385,0.153846154,0.153846154,0.153846154,0.153846154,0.0
102,153,544.0,0.265,0.0,0.147,0.147,0.147,0.294
103,199,699.0,0.29,0.22,0.34,0.0,0.05,0.1
104,16,534.0,0.222,0.0,0.222,0.111,0.222,0.222
105,102,546.0,0.2,0.2,0.1,0.1,0.2,0.2
106,205,841.0,0.47,0.17,0.16,0.05,0.1,0.05
107,146,278.0,0.107,0.0,0.179,0.179,0.179,0.357
108,14,557.0,0.310344828,0.172413793,0.172413793,0.172413793,0.172413793,0.0
109,120,702.0,0.462,0.154,0.077,0.077,0.154,0.077
110,63,604.0,0.2,0.2,0.2,0.1,0.2,0.1
111,97,450.0,0.118,0.0,0.294,0.0,0.441,0.147
112,12,265.0,0.154,0.154,0.154,0.0,0.154,0.385
113,61,315.0,0.138,0.0,0.172,0.172,0.172,0.345
114,165,655.0,0.15,0.283,0.283,0.0,0.283,0.0
115,5,567.0,0.333333333,0.166666667,0.166666667,0.166666667,0.166666667,0.0
116,6,167.0,0.0,0.213,0.213,0.213,0.213,0.15
117,204,864.0,0.43,0.18,0.2,0.0,0.12,0.07
118,156,185.0,0.057,0.189,0.189,0.189,0.189,0.189
119,103,170.0,0.0,0.225,0.225,0.225,0.225,0.1
120,142,593.0,0.333,0.0,0.133,0.133,0.133,0.267
121,193,868.0,0.43,0.24,0.23,0.0,0.05,0.05
122,247,210.6,0.125,0.25,0.125,0.0,0.25,0.25
123,45,479.0,0.231,0.192,0.192,0.0,0.192,0.192
124,251,486.3,0.225,0.25,0.025,0.0,0.25,0.25
125,112,170.0,0.057,0.0,0.189,0.189,0.189,0.377
126,17,482.0,0.31,0.172,0.172,0.0,0.172,0.172
127,166,238.0,0.091,0.0,0.182,0.182,0.182,0.364
128,60,392.0,0.167,0.0,0.167,0.167,0.167,0.333
129,57,290.0,0.123,0.0,0.175,0.175,0.175,0.351
130,244,147.2,0.05,0.25,0.2,0.0,0.25,0.25
