,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni
96,157,225.0,0.125,0.125,0.125,0.0,0.125,0.5
97,158,407.0,0.2,0.2,0.2,0.2,0.2,0.0
98,159,154.0,0.0,0.25,0.0,0.25,0.25,0.25
99,160,158.0,0.0,0.15,0.213,0.213,0.213,0.213
100,161,335.0,0.167,0.167,0.167,0.0,0.167,0.333
101,162,170.0,0.0,0.283,0.283,0.0,0.283,0.15
102,163,665.0,0.238,0.238,0.238,0.0,0.05,0.238
103,164,558.0,0.213,0.213,0.213,0.0,0.15,0.213
104,165,655.0,0.15,0.283,0.283,0.0,0.283,0.0
105,166,238.0,0.091,0.0,0.182,0.182,0.182,0.364
106,167,339.0,0.153,0.0,0.169,0.169,0.169,0.339
107,168,567.0,0.286,0.0,0.143,0.143,0.143,0.286
108,169,586.0,0.2,0.2,0.2,0.1,0.1,0.2
109,170,607.0,0.154,0.154,0.308,0.077,0.154,0.154
110,171,551.0,0.2,0.1,0.2,0.1,0.2,0.2
111,172,651.0,0.333,0.0,0.167,0.167,0.167,0.167
112,173,280.0,0.08,0.17,0.17,0.08,0.17,0.33
113,174,720.0,0.429,0.143,0.143,0.071,0.071,0.143
114,175,699.0,0.34,0.17,0.34,0.0,0.05,0.1
115,176,728.0,0.47,0.14,0.15,0.05,0.13,0.06
116,177,604.0,0.38,0.11,0.06,0.09,0.31,0.05
117,178,790.0,0.36,0.1,0.31,0.06,0.09,0.08
118,179,806.0,0.43,0.17,0.15,0.0,0.14,0.11
119,180,811.0,0.47,0.12,0.12,0.05,0.13,0.11
120,181,855.0,0.43,0.19,0.19,0.0,0.11,0.08
121,182,802.0,0.39,0.1,0.31,0.05,0.08,0.07
122,183,799.0,0.47,0.13,0.13,0.05,0.12,0.1
123,184,857.0,0.43,0.2,0.22,0.0,0.08,0.07
124,185,855.0,0.47,0.14,0.19,0.05,0.1,0.05
125,186,816.0,0.43,0.2,0.19,0.0,0.09,0.09
126,187,811.0,0.46,0.14,0.23,0.05,0.07,0.05
127,188,790.0,0.44,0.14,0.22,0.05,0.09,0.06
128,189,855.0,0.43,0.19,0.24,0.0,0.08,0.06
129,190,856.0,0.43,0.18,0.24,0.0,0.1,0.05
130,191,859.0,0.47,0.14,0.2,0.05,0.09,0.05
131,192,875.0,0.43,0.24,0.22,0.0,0.05,0.06
132,193,868.0,0.43,0.24,0.23,0.0,0.05,0.05
133,194,843.0,0.47,0.12,0.2,0.05,0.11,0.05
134,195,794.0,0.43,0.15,0.17,0.05,0.14,0.06
135,196,783.0,0.42,0.1,0.3,0.05,0.07,0.06
136,197,797.0,0.47,0.11,0.22,0.05,0.1,0.05
137,198,805.0,0.47,0.13,0.2,0.05,0.1,0.05
138,199,699.0,0.29,0.22,0.34,0.0,0.05,0.1
139,200,749.0,0.47,0.07,0.16,0.09,0.16,0.05
140,201,828.0,0.43,0.14,0.21,0.05,0.12,0.05
141,202,849.0,0.47,0.18,0.15,0.05,0.1,0.05
142,203,883.0,0.47,0.2,0.18,0.05,0.05,0.05
143,204,864.0,0.43,0.18,0.2,0.0,0.12,0.07
144,205,841.0,0.47,0.17,0.16,0.05,0.1,0.05
145,206,882.0,0.43,0.22,0.22,0.0,0.08,0.05
146,207,883.0,0.43,0.22,0.23,0.0,0.07,0.05
147,208,828.0,0.43,0.2,0.21,0.0,0.09,0.07
148,209,848.0,0.43,0.22,0.25,0.0,0.05,0.05
149,210,878.0,0.47,0.19,0.19,0.05,0.05,0.05
150,211,782.0,0.43,0.29,0.18,0.0,0.05,0.05
151,212,865.0,0.43,0.25,0.22,0.0,0.05,0.05
152,213,851.5,0.445,0.22,0.195,0.025,0.065,0.05
153,214,117.0,0.07,0.233,0.233,0.0,0.233,0.233
154,215,228.0,0.13,0.217,0.217,0.0,0.217,0.217
155,243,135.3,0.025,0.25,0.225,0.0,0.25,0.25
156,244,147.2,0.05,0.25,0.2,0.0,0.25,0.25
157,245,175.3,0.075,0.25,0.175,0.0,0.25,0.25
158,246,190.4,0.1,0.25,0.15,0.0,0.25,0.25
159,247,210.6,0.125,0.25,0.125,0.0,0.25,0.25
160,248,250.3,0.15,0.25,0.1,0.0,0.25,0.25
161,249,314.1,0.175,0.25,0.075,0.0,0.25,0.25
162,250,386.5,0.2,0.25,0.05,0.0,0.25,0.25
163,251,486.3,0.225,0.25,0.025,0.0,0.25,0.25
