,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni
97,152,587.0,0.225,0.225,0.225,0.0,0.1,0.225
98,192,875.0,0.43,0.24,0.22,0.0,0.05,0.06
99,50,580.0,0.23,0.15,0.23,0.08,0.15,0.16
100,167,339.0,0.153,0.0,0.169,0.169,0.169,0.339
101,116,242.0,0.143,0.143,0.143,0.0,0.143,0.429
102,205,841.0,0.47,0.17,0.16,0.05,0.1,0.05
103,144,695.0,0.2,0.267,0.267,0.0,0.267,0.0
104,132,521.0,0.194,0.0,0.161,0.161,0.161,0.323
105,55,408.0,0.192,0.0,0.192,0.192,0.192,0.231
106,243,135.3,0.025,0.25,0.225,0.0,0.25,0.25
107,161,335.0,0.167,0.167,0.167,0.0,0.167,0.333
108,246,190.4,0.1,0.25,0.15,0.0,0.25,0.25
109,66,171.0,0.0,0.213,0.213,0.213,0.15,0.213
110,49,207.0,0.091,0.182,0.182,0.182,0.182,0.182
111,188,790.0,0.44,0.14,0.22,0.05,0.09,0.06
112,142,593.0,0.333,0.0,0.133,0.133,0.133,0.267
113,105,764.0,0.43,0.06,0.33,0.06,0.06,0.06
114,124,591.0,0.429,0.143,0.071,0.071,0.071,0.214
115,126,576.0,0.306,0.0,0.139,0.139,0.139,0.278
116,156,185.0,0.057,0.189,0.189,0.189,0.189,0.189
117,19,694.0,0.429,0.071,0.143,0.071,0.143,0.143
118,106,153.0,0.0,0.238,0.05,0.238,0.238,0.238
119,117,451.0,0.167,0.25,0.167,0.083,0.167,0.167
120,207,883.0,0.43,0.22,0.23,0.0,0.07,0.05
121,110,472.0,0.1,0.0,0.35,0.25,0.05,0.25
122,159,154.0,0.0,0.25,0.0,0.25,0.25,0.25
123,149,495.0,0.11,0.0,0.29,0.29,0.05,0.26
124,209,848.0,0.43,0.22,0.25,0.0,0.05,0.05
125,197,797.0,0.47,0.11,0.22,0.05,0.1,0.05
126,160,158.0,0.0,0.15,0.213,0.213,0.213,0.213
