,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni
105,105,310,0.154,0.154,0.154,0.077,0.154,0.308
106,106,451,0.167,0.25,0.167,0.083,0.167,0.167
107,107,546,0.2,0.2,0.1,0.1,0.2,0.2
108,108,607,0.154,0.154,0.308,0.077,0.154,0.154
109,109,537,0.167,0.167,0.167,0.083,0.25,0.167
110,110,514,0.154,0.154,0.154,0.077,0.308,0.154
111,111,604,0.2,0.2,0.2,0.1,0.2,0.1
112,112,639,0.222,0.222,0.222,0.111,0.222,0.0
113,113,534,0.222,0.0,0.222,0.111,0.222,0.222
114,114,609,0.308,0.154,0.154,0.077,0.154,0.154
115,115,551,0.2,0.1,0.2,0.1,0.2,0.2
116,116,382,0.111,0.0,0.222,0.222,0.222,0.222
117,117,573,0.273,0.0,0.182,0.182,0.182,0.182
118,118,651,0.333,0.0,0.167,0.167,0.167,0.167
119,119,135,0.077,0.308,0.0,0.0,0.308,0.308
120,120,205,0.143,0.286,0.0,0.0,0.286,0.286
121,121,380,0.2,0.267,0.0,0.0,0.267,0.267
122,122,280,0.08,0.17,0.17,0.08,0.17,0.33
123,123,580,0.23,0.15,0.23,0.08,0.15,0.16
124,124,371,0.167,0.0,0.556,0.0,0.0,0.278
125,125,450,0.118,0.0,0.294,0.0,0.441,0.147
126,126,304,0.063,0.0,0.313,0.0,0.469,0.156
127,127,695,0.385,0.154,0.154,0.0,0.154,0.154
128,128,740,0.429,0.143,0.143,0.0,0.143,0.143
129,129,207,0.091,0.182,0.182,0.182,0.182,0.182
130,130,576,0.286,0.143,0.143,0.143,0.143,0.143
131,131,415,0.2,0.2,0.2,0.2,0.0,0.2
132,132,602,0.25,0.167,0.167,0.083,0.167,0.167
133,133,155,0.0,0.2,0.2,0.2,0.2,0.2
134,134,139,0.0,0.25,0.25,0.0,0.25,0.25
135,135,430,0.25,0.25,0.0,0.0,0.25,0.25
136,136,516,0.2,0.2,0.2,0.0,0.2,0.2
137,137,764,0.43,0.06,0.33,0.06,0.06,0.06
138,138,591,0.429,0.143,0.071,0.071,0.071,0.214
139,139,701,0.429,0.214,0.071,0.071,0.071,0.143
140,140,768,0.4,0.133,0.067,0.133,0.2,0.067
141,141,702,0.462,0.154,0.077,0.077,0.154,0.077
142,142,720,0.429,0.143,0.143,0.071,0.071,0.143
143,143,694,0.429,0.071,0.143,0.071,0.143,0.143
144,144,149,0.07,0.0,0.233,0.0,0.233,0.465
145,145,229,0.111,0.0,0.222,0.0,0.222,0.444
146,146,459,0.13,0.0,0.28,0.22,0.06,0.31
147,147,469,0.12,0.0,0.31,0.21,0.05,0.31
148,148,483,0.12,0.0,0.31,0.2,0.05,0.32
149,149,472,0.1,0.0,0.35,0.25,0.05,0.25
150,150,454,0.1,0.0,0.35,0.26,0.05,0.24
151,151,441,0.1,0.0,0.35,0.24,0.05,0.26
152,152,495,0.11,0.0,0.29,0.29,0.05,0.26
153,153,477,0.11,0.0,0.28,0.29,0.07,0.25
154,154,469,0.11,0.0,0.28,0.27,0.06,0.28
