,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni
98,98,625.0,0.333,0.133,0.133,0.133,0.133,0.133
99,99,655.0,0.359,0.128,0.128,0.128,0.128,0.128
100,100,735.0,0.375,0.125,0.125,0.125,0.125,0.125
101,101,118.0,0.024,0.244,0.244,0.0,0.244,0.244
102,102,127.0,0.091,0.227,0.227,0.0,0.227,0.227
103,103,338.0,0.149,0.213,0.213,0.0,0.213,0.213
104,104,382.0,0.167,0.208,0.208,0.0,0.208,0.208
105,105,527.0,0.184,0.204,0.204,0.0,0.204,0.204
106,106,479.0,0.231,0.192,0.192,0.0,0.192,0.192
107,107,482.0,0.31,0.172,0.172,0.0,0.172,0.172
108,108,166.0,0.143,0.429,0.0,0.143,0.143,0.143
109,109,536.0,0.2,0.2,0.0,0.2,0.2,0.2
110,110,531.0,0.238,0.048,0.0,0.238,0.238,0.238
111,111,545.0,0.222,0.111,0.0,0.222,0.222,0.222
112,112,366.0,0.182,0.273,0.0,0.182,0.182,0.182
113,113,249.0,0.167,0.333,0.0,0.167,0.167,0.167
114,114,110.0,0.059,0.235,0.235,0.0,0.235,0.235
115,115,131.0,0.086,0.229,0.229,0.0,0.229,0.229
116,116,388.0,0.158,0.211,0.211,0.0,0.211,0.211
117,117,538.0,0.179,0.205,0.205,0.0,0.205,0.205
118,118,487.0,0.238,0.19,0.19,0.0,0.19,0.19
119,119,162.0,0.038,0.0,0.192,0.192,0.192,0.385
120,120,170.0,0.057,0.0,0.189,0.189,0.189,0.377
121,121,200.0,0.074,0.0,0.185,0.185,0.185,0.37
122,122,238.0,0.091,0.0,0.182,0.182,0.182,0.364
123,123,278.0,0.107,0.0,0.179,0.179,0.179,0.357
124,124,290.0,0.123,0.0,0.175,0.175,0.175,0.351
125,125,315.0,0.138,0.0,0.172,0.172,0.172,0.345
126,126,339.0,0.153,0.0,0.169,0.169,0.169,0.339
127,127,392.0,0.167,0.0,0.167,0.167,0.167,0.333
128,128,521.0,0.194,0.0,0.161,0.161,0.161,0.323
129,129,546.0,0.231,0.0,0.154,0.154,0.154,0.308
130,130,550.0,0.242,0.0,0.152,0.152,0.152,0.303
131,131,544.0,0.265,0.0,0.147,0.147,0.147,0.294
132,132,567.0,0.286,0.0,0.143,0.143,0.143,0.286
133,133,576.0,0.306,0.0,0.139,0.139,0.139,0.278
134,134,593.0,0.333,0.0,0.133,0.133,0.133,0.267
135,135,479.0,0.2,0.0,0.2,0.2,0.2,0.2
136,136,494.0,0.217,0.0,0.217,0.217,0.217,0.13
137,137,486.0,0.208,0.0,0.208,0.208,0.208,0.167
138,138,408.0,0.192,0.0,0.192,0.192,0.192,0.231
139,139,370.0,0.185,0.0,0.185,0.185,0.185,0.259
140,140,358.0,0.167,0.167,0.167,0.083,0.167,0.25
141,141,586.0,0.2,0.2,0.2,0.1,0.1,0.2
142,142,601.0,0.167,0.167,0.25,0.083,0.167,0.167
143,143,295.0,0.154,0.308,0.154,0.077,0.154,0.154
144,144,584.0,0.222,0.222,0.0,0.111,0.222,0.222
145,145,310.0,0.154,0.154,0.154,0.077,0.154,0.308
