,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni,result_19
0,0,486.0,0.208,0.0,0.208,0.208,0.208,0.167,5.065710907
1,1,469.0,0.11,0.0,0.28,0.27,0.06,0.28,3.507467907
2,2,358.0,0.167,0.167,0.167,0.083,0.167,0.25,4.019751472
3,3,477.0,0.11,0.0,0.28,0.29,0.07,0.25,3.59686986
4,4,140.0,0.0,0.267,0.267,0.0,0.267,0.2,1.403001067
5,5,567.0,0.333333333,0.166666667,0.166666667,0.166666667,0.166666667,0.0,5.952965399
6,6,167.0,0.0,0.213,0.213,0.213,0.213,0.15,1.31237309
7,7,494.0,0.217,0.0,0.217,0.217,0.217,0.13,5.216135142
8,8,550.0,0.238,0.05,0.238,0.0,0.238,0.238,5.62398232
9,9,273.0,0.138,0.172,0.172,0.172,0.172,0.172,3.876863518
10,10,538.0,0.179,0.205,0.205,0.0,0.205,0.205,4.538957255
11,11,182.0,0.0,0.238,0.238,0.238,0.05,0.238,1.333592315
12,12,265.0,0.154,0.154,0.154,0.0,0.154,0.385,3.139109233
13,13,423.0,0.182,0.182,0.182,0.182,0.182,0.091,4.741504525
14,14,557.0,0.310344828,0.172413793,0.172413793,0.172413793,0.172413793,0.0,5.709504553
15,15,580.0,0.23,0.15,0.23,0.08,0.15,0.16,5.599319866
16,16,135.0,0.077,0.308,0.0,0.0,0.308,0.308,1.739875806
17,17,624.0,0.384615385,0.153846154,0.153846154,0.153846154,0.153846154,0.0,6.519307198
18,18,441.0,0.1,0.0,0.35,0.24,0.05,0.26,3.62391915
19,19,139.0,0.0,0.25,0.25,0.0,0.25,0.25,1.38927804
20,20,408.0,0.192,0.0,0.192,0.192,0.192,0.231,4.665459863
21,21,629.0,0.28,0.1,0.27,0.1,0.05,0.2,6.291418863
22,22,290.0,0.123,0.0,0.175,0.175,0.175,0.351,3.125960682
23,23,657.0,0.411764706,0.147058824,0.147058824,0.147058824,0.147058824,0.0,6.831917174
24,24,601.0,0.167,0.167,0.25,0.083,0.167,0.167,4.698297273
25,25,392.0,0.167,0.0,0.167,0.167,0.167,0.333,3.83128477
26,26,315.0,0.138,0.0,0.172,0.172,0.172,0.345,3.363160074
27,27,371.0,0.167,0.0,0.556,0.0,0.0,0.278,5.275847054
28,28,604.0,0.2,0.2,0.2,0.1,0.2,0.1,5.202367591
29,29,454.0,0.1,0.0,0.35,0.26,0.05,0.24,3.690195248
30,30,550.0,0.242,0.0,0.152,0.152,0.152,0.303,4.99167986
31,31,171.0,0.0,0.213,0.213,0.213,0.15,0.213,1.31237309
32,32,720.0,0.25,0.25,0.25,0.0,0.25,0.0,6.317653918
33,33,479.0,0.2,0.0,0.2,0.2,0.2,0.2,4.881528295
34,34,620.0,0.1,0.3,0.3,0.0,0.3,0.0,4.907615525
35,35,125.0,0.0,0.333333,0.0,0.0,0.333333333,0.333333333,0.953283209
36,36,548.0,0.225,0.225,0.225,0.0,0.225,0.1,5.775912437
37,37,655.0,0.359,0.128,0.128,0.128,0.128,0.128,6.519517736
38,38,157.0,0.0,0.167,0.167,0.167,0.333,0.167,1.283392386
39,39,450.0,0.118,0.0,0.294,0.0,0.441,0.147,4.209596967
40,40,200.0,0.074,0.0,0.185,0.185,0.185,0.37,2.393354942
41,41,310.0,0.154,0.154,0.154,0.077,0.154,0.308,3.506147127
42,42,625.0,0.333,0.133,0.133,0.133,0.133,0.133,6.251759079
43,43,555.0,0.213,0.213,0.213,0.0,0.213,0.15,5.382860795
44,44,546.0,0.2,0.2,0.1,0.1,0.2,0.2,4.471049847
45,45,170.0,0.0,0.225,0.225,0.225,0.225,0.1,1.322084728
46,46,516.0,0.2,0.2,0.2,0.0,0.2,0.2,4.906837898
47,47,764.0,0.43,0.06,0.33,0.06,0.06,0.06,8.63885047
48,48,153.0,0.0,0.238,0.05,0.238,0.238,0.238,1.06731448
49,49,338.0,0.149,0.213,0.213,0.0,0.213,0.213,3.978973299
50,50,131.0,0.086,0.229,0.229,0.0,0.229,0.229,2.748635479
51,51,740.0,0.429,0.143,0.143,0.0,0.143,0.143,8.049169845
52,52,472.0,0.1,0.0,0.35,0.25,0.05,0.25,3.657574616
53,53,172.0,0.0,0.222222222,0.222222222,0.111111111,0.222222222,0.222222222,1.319280188
54,54,170.0,0.057,0.0,0.189,0.189,0.189,0.377,2.162487445
55,55,545.0,0.222,0.111,0.0,0.222,0.222,0.222,4.123193338
56,56,415.0,0.2,0.2,0.2,0.2,0.0,0.2,4.681528295
57,57,475.0,0.206,0.159,0.159,0.159,0.159,0.159,4.856051772
58,58,242.0,0.143,0.143,0.143,0.0,0.143,0.429,2.805209336
59,59,451.0,0.167,0.25,0.167,0.083,0.167,0.167,4.330905166
60,60,475.0,0.05,0.317,0.317,0.0,0.317,0.0,4.486318996
61,61,370.0,0.185,0.0,0.185,0.185,0.185,0.259,4.449970137
62,62,702.0,0.462,0.154,0.077,0.077,0.154,0.077,7.632127387
63,63,168.0,0.053,0.211,0.211,0.0,0.263,0.263,2.062606115
64,64,166.0,0.143,0.429,0.0,0.143,0.143,0.143,3.26137236
65,65,459.0,0.13,0.0,0.28,0.22,0.06,0.31,3.734128921
66,66,546.0,0.231,0.0,0.154,0.154,0.154,0.308,4.825365104
67,67,558.0,0.265,0.147,0.147,0.147,0.147,0.147,5.54031861
68,68,593.0,0.333,0.0,0.133,0.133,0.133,0.267,6.232057732
69,69,125.0,0.0,0.2,0.2,0.0,0.2,0.4,1.353800876
70,70,695.0,0.2,0.267,0.267,0.0,0.267,0.0,5.823940065
71,71,473.0,0.182,0.091,0.182,0.182,0.182,0.182,4.583955011
72,72,278.0,0.107,0.0,0.179,0.179,0.179,0.357,2.881706358
73,73,155.0,0.0,0.2,0.2,0.2,0.2,0.2,1.302850452
74,74,161.0,0.0,0.213,0.15,0.213,0.213,0.213,1.216375184
75,75,495.0,0.11,0.0,0.29,0.29,0.05,0.26,3.597677824
76,76,430.0,0.25,0.25,0.0,0.0,0.25,0.25,4.586606899
77,77,573.0,0.273,0.0,0.182,0.182,0.182,0.182,5.730273466
78,78,587.0,0.225,0.225,0.225,0.0,0.1,0.225,5.255497041
79,79,544.0,0.265,0.0,0.147,0.147,0.147,0.294,5.32214577
80,80,146.0,0.0,0.05,0.238,0.238,0.238,0.238,1.521592315
81,81,476.0,0.225,0.225,0.1,0.0,0.225,0.225,4.775484843
82,82,185.0,0.057,0.189,0.189,0.189,0.189,0.189,2.349741285
83,83,225.0,0.125,0.125,0.125,0.0,0.125,0.5,2.363043553
84,84,407.0,0.2,0.2,0.2,0.2,0.2,0.0,4.631531493
85,85,154.0,0.0,0.25,0.0,0.25,0.25,0.25,1.004357961
86,86,158.0,0.0,0.15,0.213,0.213,0.213,0.213,1.37537309
87,87,335.0,0.167,0.167,0.167,0.0,0.167,0.333,3.592593825
88,88,170.0,0.0,0.283,0.283,0.0,0.283,0.15,1.416671691
89,89,665.0,0.238,0.238,0.238,0.0,0.05,0.238,5.43598232
90,90,558.0,0.213,0.213,0.213,0.0,0.15,0.213,5.08852375
91,91,655.0,0.15,0.283,0.283,0.0,0.283,0.0,5.353190409
92,92,238.0,0.091,0.0,0.182,0.182,0.182,0.364,2.638366967
93,93,339.0,0.153,0.0,0.169,0.169,0.169,0.339,3.602708109
94,94,567.0,0.286,0.0,0.143,0.143,0.143,0.286,5.613590496
95,95,811.0,0.46,0.14,0.23,0.05,0.07,0.05,8.607144489
96,96,790.0,0.44,0.14,0.22,0.05,0.09,0.06,8.311539802
97,97,855.0,0.43,0.19,0.24,0.0,0.08,0.06,8.467106091
98,98,856.0,0.43,0.18,0.24,0.0,0.1,0.05,8.478947073
99,99,859.0,0.47,0.14,0.2,0.05,0.09,0.05,8.59389213
100,100,875.0,0.43,0.24,0.22,0.0,0.05,0.06,8.34191347
101,101,868.0,0.43,0.24,0.23,0.0,0.05,0.05,8.381934967
102,102,843.0,0.47,0.12,0.2,0.05,0.11,0.05,8.61389213
103,103,794.0,0.43,0.15,0.17,0.05,0.14,0.06,7.948090414
104,104,783.0,0.42,0.1,0.3,0.05,0.07,0.06,8.415013231
105,105,797.0,0.47,0.11,0.22,0.05,0.1,0.05,8.719606263
106,106,805.0,0.47,0.13,0.2,0.05,0.1,0.05,8.60389213
107,107,699.0,0.29,0.22,0.34,0.0,0.05,0.1,6.904742832
108,108,749.0,0.47,0.07,0.16,0.09,0.16,0.05,8.163294156
109,109,828.0,0.43,0.14,0.21,0.05,0.12,0.05,8.140678255
110,110,849.0,0.47,0.18,0.15,0.05,0.1,0.05,8.299017607
111,111,883.0,0.47,0.2,0.18,0.05,0.05,0.05,8.434497199
112,112,864.0,0.43,0.18,0.2,0.0,0.12,0.07,8.319879551
113,113,841.0,0.47,0.17,0.16,0.05,0.1,0.05,8.361656219
114,114,882.0,0.43,0.22,0.22,0.0,0.08,0.05,8.363840168
115,115,883.0,0.43,0.22,0.23,0.0,0.07,0.05,8.401934967
116,116,828.0,0.43,0.2,0.21,0.0,0.09,0.07,8.340156654
117,117,848.0,0.43,0.22,0.25,0.0,0.05,0.05,8.474851746
118,118,878.0,0.47,0.19,0.19,0.05,0.05,0.05,8.494640167
119,119,782.0,0.43,0.29,0.18,0.0,0.05,0.05,8.131142811
120,120,865.0,0.43,0.25,0.22,0.0,0.05,0.05,8.333840168
121,121,851.5,0.445,0.22,0.195,0.025,0.065,0.05,8.324653045
122,122,117.0,0.07,0.233,0.233,0.0,0.233,0.233,2.449085694
123,123,228.0,0.13,0.217,0.217,0.0,0.217,0.217,3.612072986
124,124,135.3,0.025,0.25,0.225,0.0,0.25,0.25,1.659456085
125,125,147.2,0.05,0.25,0.2,0.0,0.25,0.25,1.97297955
126,126,175.3,0.075,0.25,0.175,0.0,0.25,0.25,2.315686832
127,127,190.4,0.1,0.25,0.15,0.0,0.25,0.25,2.672774028
128,128,210.6,0.125,0.25,0.125,0.0,0.25,0.25,3.031007664
129,129,250.3,0.15,0.25,0.1,0.0,0.25,0.25,3.380119225
130,130,314.1,0.175,0.25,0.075,0.0,0.25,0.25,3.713179454
